doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
10;01.03.22 08:15;Read that most people meet their dream job by accident, not by planning. Makes the whole careers advice thing sound made up. #dreamjob #firstday;;;24;3;5;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;C;1
11;19.05.22 13:44;Read that the average office worker has three coffees before 2pm. Seems low. #coffee #flatwhite;https://images.unsplash.com/photo-1637153468029-bd762b3a0b33?w=1600&auto=format&fit=crop;A white cup of coffee on a wooden cafe table, seen from above.;9;0;1;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;C;2
12;04.08.22 17:50;Read that only sixty percent of trains ran on time last month. Worst the operator has managed in a decade. #trains #delays;https://images.unsplash.com/photo-1684934899514-772e03714de5?w=1600&auto=format&fit=crop;A train passing through a station beneath a large platform clock.;7;1;2;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;C;3
13;23.10.22 19:20;Nobody on this street has an umbrella and every one of them is soaked through. Wettest day in fifteen years, apparently. #rain;https://images.unsplash.com/photo-1689020188062-086bcae2b17b?w=1600&auto=format&fit=crop;Looking down at a pair of soaked shoes on wet pavement.;11;0;3;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;C;4
14;27.12.22 21:35;Read that Bali is bringing in a tourist levy next year. Sounds fair, the island has a serious waste problem. #bali #travel;https://images.unsplash.com/photo-1577717903315-1691ae25ab3f?w=1600&auto=format&fit=crop;A tropical island with palm trees and turquoise water under an open sky.;19;2;4;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;C;5
15;01.03.22 08:15;Read that most people meet their dream job by accident, not by planning. Makes the whole careers advice thing sound made up. #dreamjob #firstday;;;24;3;5;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;D;1
16;01.03.22 13:44;Read that the average office worker has three coffees before 2pm. Seems low. #coffee #flatwhite;https://images.unsplash.com/photo-1637153468029-bd762b3a0b33?w=1600&auto=format&fit=crop;A white cup of coffee on a wooden cafe table, seen from above.;9;0;1;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;D;2
17;01.03.22 17:50;Read that only sixty percent of trains ran on time last month. Worst the operator has managed in a decade. #trains #delays;https://images.unsplash.com/photo-1684934899514-772e03714de5?w=1600&auto=format&fit=crop;A train passing through a station beneath a large platform clock.;7;1;2;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;D;3
18;01.03.22 19:20;Nobody on this street has an umbrella and every one of them is soaked through. Wettest day in fifteen years, apparently. #rain;https://images.unsplash.com/photo-1689020188062-086bcae2b17b?w=1600&auto=format&fit=crop;Looking down at a pair of soaked shoes on wet pavement.;11;0;3;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;D;4
19;01.03.22 21:35;Read that Bali is bringing in a tourist levy next year. Sounds fair, the island has a serious waste problem. #bali #travel;https://images.unsplash.com/photo-1577717903315-1691ae25ab3f?w=1600&auto=format&fit=crop;A tropical island with palm trees and turquoise water under an open sky.;19;2;4;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;D;5
