doc_id,datetime,text,media,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,condition,"sequence,,,"
10,01.03.22 09:38,Read that only sixty percent of trains ran on time last month. Worst the operator has managed in a decade. #trains #delays,,15,6,2,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,Low Frequency OtherC,1
11,02.06.22 10:03,"Read that most people meet their dream job by accident, not by planning. Makes the whole careers advice thing sound made up. #dreamjob ",,7,0,0,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,Low Frequency OtherC,2
12,07.08.22 13:44,Read that the average office worker has three coffees before 2pm. Seems low. #coffee #flatwhite ,https://unsplash.com/photos/a-cup-of-coffee-sitting-on-top-of-a-wooden-table-Ct2cfPKSnTQ,10,3,0,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,Low Frequency OtherC,3
13,21.11.22 19:12,"Nobody on this street has an umbrella and every one of them is soaked through. Wettest day in fifteen years, apparently. #rain",https://unsplash.com/photos/a-person-standing-on-a-sidewalk-with-their-feet-up-LNP0NYNnDzI,13,2,0,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,Low Frequency OtherC,5
14,27.12.22 15:21,"Read that Bali is bringing in a tourist levy next year. Sounds fair, the island has a serious waste problem. #bali",https://unsplash.com/photos/island-under-white-sky-exFdOWkYBQw,8,0,0,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,Low Frequency OtherC,4
15,01.03.22 09:38,Read that only sixty percent of trains ran on time last month. Worst the operator has managed in a decade. #trains #delays,,18,3,0,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,High Frequency OtherD,1
16,01.03.22 10:03,"Read that most people meet their dream job by accident, not by planning. Makes the whole careers advice thing sound made up. #dreamjob ",,10,1,0,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,High Frequency OtherD,2
17,01.03.22 13:44,Read that the average office worker has three coffees before 2pm. Seems low. #coffee #flatwhite ,https://unsplash.com/photos/a-cup-of-coffee-sitting-on-top-of-a-wooden-table-Ct2cfPKSnTQ,4,0,2,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,High Frequency OtherD,3
18,01.03.22 19:12,"Nobody on this street has an umbrella and every one of them is soaked through. Wettest August day in fifteen years, apparently. #rain",https://unsplash.com/photos/a-person-standing-on-a-sidewalk-with-their-feet-up-LNP0NYNnDzI,10,1,0,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,High Frequency OtherD,5
19,01.03.22 15:21,"Read that Bali is bringing in a tourist levy next year. Sounds fair, the island has a serious waste problem. #bali",https://unsplash.com/photos/island-under-white-sky-exFdOWkYBQw,9,1,0,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,High Frequency OtherD,4
